date,day_of_week,month,festival_flag,darshan_slot,holiday_flag,season,special_event_flag,crowd_level
2025-05-26,Monday,5,0,8-9,0,2,0,1
2024-05-07,Tuesday,5,0,6-7,0,2,0,1
2024-06-26,Wednesday,6,0,11-12,0,3,0,0
2024-04-28,Sunday,4,0,1-2,1,2,0,1
2024-11-19,Tuesday,11,0,10-11,0,4,0,0
2025-05-13,Tuesday,5,0,8-9,0,2,0,1
2024-02-23,Friday,2,0,7-8,0,1,0,1
2025-08-12,Tuesday,8,0,9-10,0,3,1,1
2024-07-21,Sunday,7,0,9-10,1,3,0,1
2025-08-24,Sunday,8,1,3-4,1,3,0,2
2024-12-23,Monday,12,0,1-2,0,1,0,1
2024-04-15,Monday,4,0,8-9,0,2,0,1
2024-07-28,Sunday,7,0,6-7,1,3,0,1
2024-09-05,Thursday,9,0,1-2,0,4,0,0
2024-02-12,Monday,2,0,6-7,0,1,1,2
2024-06-27,Thursday,6,0,9-10,0,3,0,0
2025-04-28,Monday,4,0,11-12,0,2,0,0
2025-07-14,Monday,7,0,11-12,0,3,0,0
2025-03-10,Monday,3,0,7-8,0,2,0,1
2025-05-19,Monday,5,0,12-1,0,2,0,0
2025-03-29,Saturday,3,0,1-2,1,2,0,1
2025-05-13,Tuesday,5,0,1-2,0,2,0,0
2024-06-14,Friday,6,0,10-11,0,3,0,0
2025-08-26,Tuesday,8,1,1-2,0,3,0,1
2025-03-06,Thursday,3,1,11-12,1,2,0,2
2025-07-13,Sunday,7,0,6-7,1,3,0,1
2024-08-23,Friday,8,0,6-7,0,3,0,1
2025-04-22,Tuesday,4,0,10-11,1,2,0,1
2024-02-28,Wednesday,2,0,6-7,0,1,0,1
2025-07-06,Sunday,7,0,6-7,1,3,0,1
2024-04-22,Monday,4,0,12-1,0,2,0,0
2024-12-10,Tuesday,12,0,11-12,0,1,0,1
2025-03-04,Tuesday,3,0,9-10,0,2,0,0
2024-06-09,Sunday,6,0,2-3,1,3,0,1
2024-08-18,Sunday,8,0,11-12,1,3,0,1
2024-06-30,Sunday,6,0,4-5,1,3,0,1
2025-01-11,Saturday,1,0,12-1,1,1,0,1
2024-06-05,Wednesday,6,0,12-1,0,3,0,0
2024-11-11,Monday,11,0,11-12,0,4,1,1
2024-09-09,Monday,9,0,11-12,0,4,1,1
2024-01-13,Saturday,1,1,12-1,1,1,0,2
2025-05-20,Tuesday,5,0,12-1,0,2,1,1
2025-02-09,Sunday,2,0,2-3,1,1,0,1
2024-12-25,Wednesday,12,0,10-11,0,1,0,1
2025-05-21,Wednesday,5,0,7-8,0,2,0,1
2024-02-15,Thursday,2,0,11-12,0,1,0,0
2024-07-17,Wednesday,7,0,6-7,0,3,0,1
2024-12-02,Monday,12,0,2-3,0,1,0,0
2024-10-21,Monday,10,0,8-9,0,4,0,1
2025-04-25,Friday,4,0,11-12,1,2,0,1
2024-08-05,Monday,8,1,1-2,1,3,0,2
2025-05-05,Monday,5,0,8-9,0,2,0,1
2025-07-24,Thursday,7,0,6-7,0,3,0,1
2025-05-26,Monday,5,0,5-6,0,2,0,0
2024-05-28,Tuesday,5,0,9-10,0,2,0,0
2024-07-18,Thursday,7,0,7-8,0,3,0,1
2024-08-15,Thursday,8,0,10-11,0,3,0,0
2024-07-07,Sunday,7,0,12-1,1,3,0,1
2025-05-25,Sunday,5,0,4-5,1,2,0,1
2024-06-15,Saturday,6,0,12-1,1,3,0,1
2025-01-21,Tuesday,1,0,10-11,0,1,0,0
2025-08-04,Monday,8,0,6-7,0,3,0,1
2024-12-28,Saturday,12,0,10-11,1,1,0,1
2025-01-26,Sunday,1,1,3-4,1,1,0,2
2025-08-08,Friday,8,1,3-4,0,3,0,1
2025-08-05,Tuesday,8,1,8-9,0,3,0,2
2025-01-12,Sunday,1,1,6-7,1,1,0,2
2025-02-05,Wednesday,2,0,10-11,0,1,0,0
2025-01-17,Friday,1,1,8-9,0,1,0,2
2024-07-22,Monday,7,0,2-3,0,3,0,0
2024-07-08,Monday,7,0,8-9,0,3,0,1
2024-10-15,Tuesday,10,0,8-9,0,4,0,1
2024-05-16,Thursday,5,0,6-7,0,2,0,1
2024-07-13,Saturday,7,0,5-6,1,3,0,1
2024-09-07,Saturday,9,0,5-6,1,4,0,1
2025-08-03,Sunday,8,1,10-11,1,3,0,2
2024-10-08,Tuesday,10,0,7-8,0,4,0,1
2025-07-09,Wednesday,7,0,2-3,0,3,0,0
2024-11-30,Saturday,11,0,12-1,1,4,0,1
2025-02-08,Saturday,2,0,6-7,1,1,0,2
2025-05-19,Monday,5,0,10-11,0,2,0,0
2024-08-05,Monday,8,1,6-7,0,3,0,2
2025-01-07,Tuesday,1,1,12-1,0,1,0,2
2024-12-02,Monday,12,0,9-10,0,1,0,1
2024-01-09,Tuesday,1,1,7-8,1,1,0,2
2024-07-08,Monday,7,0,8-9,0,3,0,1
2024-12-26,Thursday,12,0,12-1,0,1,0,1
2024-08-04,Sunday,8,0,7-8,1,3,0,1
2025-02-27,Thursday,2,0,1-2,0,1,0,1
2025-03-06,Thursday,3,1,11-12,0,2,0,1
2024-04-06,Saturday,4,0,12-1,1,2,0,1
2024-07-06,Saturday,7,0,8-9,1,3,0,2
2025-02-21,Friday,2,0,9-10,0,1,0,0
2024-06-19,Wednesday,6,0,12-1,0,3,0,0
2025-02-27,Thursday,2,0,10-11,0,1,0,0
2024-01-02,Tuesday,1,1,1-2,0,1,0,2
2024-08-31,Saturday,8,1,4-5,1,3,0,2
2025-05-25,Sunday,5,0,10-11,1,2,0,1
2024-03-02,Saturday,3,0,5-6,1,2,0,1
2024-06-22,Saturday,6,0,8-9,1,3,1,2
2024-04-08,Monday,4,0,6-7,0,2,0,1
2024-11-28,Thursday,11,0,12-1,0,4,0,0
2025-08-09,Saturday,8,0,8-9,1,3,0,2
2024-10-28,Monday,10,0,8-9,0,4,0,1
2024-02-29,Thursday,2,0,10-11,0,1,0,0
2025-02-16,Sunday,2,0,9-10,1,1,0,1
2024-02-13,Tuesday,2,0,9-10,0,1,0,1
2024-01-10,Wednesday,1,0,3-4,0,1,0,0
2025-08-03,Sunday,8,1,7-8,1,3,0,2
2024-03-26,Tuesday,3,1,9-10,0,2,0,1
2024-04-17,Wednesday,4,0,10-11,0,2,0,0
2024-08-25,Sunday,8,0,7-8,1,3,0,2
2025-08-11,Monday,8,1,8-9,0,3,0,2
2025-05-20,Tuesday,5,0,11-12,0,2,0,0
2025-03-15,Saturday,3,0,12-1,1,2,0,1
2025-07-19,Saturday,7,0,1-2,1,3,0,1
2024-02-20,Tuesday,2,0,7-8,0,1,0,1
2025-08-25,Monday,8,0,1-2,0,3,0,0
2024-09-29,Sunday,9,0,7-8,1,4,0,2
2024-09-14,Saturday,9,0,6-7,1,4,0,1
2024-05-08,Wednesday,5,0,8-9,0,2,0,1
2025-02-23,Sunday,2,0,6-7,1,1,0,2
2025-03-29,Saturday,3,1,8-9,1,2,0,2
2024-05-01,Wednesday,5,0,3-4,0,2,0,0
2024-08-25,Sunday,8,0,10-11,1,3,0,1
2025-02-06,Thursday,2,0,7-8,0,1,0,1
2024-02-10,Saturday,2,0,7-8,1,1,0,2
2024-07-15,Monday,7,0,8-9,0,3,0,1
2025-02-06,Thursday,2,0,11-12,0,1,0,1
2024-06-26,Wednesday,6,0,1-2,0,3,0,0
2024-12-25,Wednesday,12,0,7-8,0,1,0,1
2024-11-26,Tuesday,11,0,1-2,0,4,0,0
2024-03-17,Sunday,3,1,11-12,1,2,0,2
2024-11-07,Thursday,11,0,11-12,1,4,0,1
2025-08-26,Tuesday,8,0,7-8,1,3,0,1
2025-02-27,Thursday,2,0,12-1,0,1,0,0
2024-03-30,Saturday,3,1,12-1,1,2,0,2
2025-07-01,Tuesday,7,0,6-7,0,3,0,1
2025-02-18,Tuesday,2,0,3-4,0,1,0,0
2024-09-13,Friday,9,0,10-11,0,4,0,0
2025-05-03,Saturday,5,0,8-9,1,2,0,1
2025-04-09,Wednesday,4,0,9-10,0,2,0,0
2025-04-02,Wednesday,4,0,7-8,0,2,0,1
2024-03-21,Thursday,3,1,10-11,0,2,0,1
2024-11-29,Friday,11,0,10-11,0,4,0,0
2025-08-20,Wednesday,8,1,10-11,0,3,0,1
2025-04-28,Monday,4,0,8-9,1,2,0,2
2024-11-13,Wednesday,11,0,7-8,1,4,0,1
2024-01-10,Wednesday,1,0,8-9,0,1,0,1
2024-10-12,Saturday,10,0,9-10,1,4,0,1
2024-03-05,Tuesday,3,1,10-11,0,2,0,1
2024-04-25,Thursday,4,0,7-8,0,2,0,1
2024-10-16,Wednesday,10,0,10-11,0,4,0,0
2024-07-04,Thursday,7,0,9-10,0,3,0,0
2024-07-01,Monday,7,0,1-2,0,3,0,0
2024-04-15,Monday,4,0,9-10,0,2,0,0
2024-12-17,Tuesday,12,0,8-9,0,1,0,1
2024-04-01,Monday,4,0,10-11,0,2,0,0
2025-04-21,Monday,4,0,11-12,0,2,0,0
2025-02-17,Monday,2,0,9-10,0,1,0,0
2024-04-25,Thursday,4,0,1-2,0,2,0,0
2024-09-07,Saturday,9,0,8-9,1,4,0,2
2024-03-16,Saturday,3,1,6-7,1,2,0,2
2025-07-26,Saturday,7,0,10-11,1,3,0,1
2025-02-09,Sunday,2,0,10-11,1,1,0,1
2024-04-15,Monday,4,0,10-11,0,2,0,0
2024-06-01,Saturday,6,0,10-11,1,3,0,1
2024-02-15,Thursday,2,0,4-5,0,1,0,1
2024-12-30,Monday,12,0,7-8,0,1,0,1
2024-03-28,Thursday,3,1,8-9,0,2,1,2
2025-03-01,Saturday,3,0,10-11,1,2,0,1
2025-01-29,Wednesday,1,1,9-10,0,1,0,2
2024-05-30,Thursday,5,0,7-8,0,2,0,1
2024-09-12,Thursday,9,0,6-7,0,4,1,2
2024-12-29,Sunday,12,0,7-8,1,1,0,2
2025-08-24,Sunday,8,0,7-8,1,3,0,1
2024-09-07,Saturday,9,0,6-7,1,4,0,2
2024-07-21,Sunday,7,0,8-9,1,3,0,2
2024-01-18,Thursday,1,1,5-6,0,1,1,2
2025-04-01,Tuesday,4,0,8-9,0,2,0,1
2025-04-20,Sunday,4,0,7-8,1,2,0,1
2025-04-02,Wednesday,4,0,11-12,0,2,0,0
2025-02-26,Wednesday,2,0,9-10,0,1,0,1
2025-02-01,Saturday,2,0,7-8,1,1,0,2
2025-04-19,Saturday,4,0,8-9,1,2,0,2
2024-09-28,Saturday,9,0,6-7,1,4,0,2
2025-02-13,Thursday,2,0,3-4,0,1,0,0
2025-03-29,Saturday,3,0,4-5,1,2,0,1
2024-11-22,Friday,11,0,9-10,0,4,1,1
2025-03-05,Wednesday,3,1,9-10,0,2,0,1
2024-09-25,Wednesday,9,0,10-11,0,4,0,0
2024-11-19,Tuesday,11,0,12-1,0,4,0,0
2025-07-08,Tuesday,7,0,6-7,0,3,0,1
2024-05-15,Wednesday,5,0,7-8,0,2,1,2
